"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.853793097E1	-1.232624054E-3	5.172491074E-2	-3.195667267E-2	6.081294830E-2
1.854593289E1	1.040458679E-3	5.615222454E-2	-5.578660965E-2	7.915996900E-2
1.855393039E1	8.137226105E-3	3.911927342E-2	-6.049537659E-2	7.249981097E-2
1.856193086E1	1.043844223E-2	4.375520349E-2	-6.041622162E-2	7.532329482E-2
1.856993539E1	7.914543152E-3	1.493629813E-2	-3.876399994E-2	4.228925025E-2
1.857793914E1	1.254081726E-2	-1.738876104E-3	4.450798035E-3	1.342033497E-2
1.858593980E1	-1.388120651E-2	-1.628547907E-3	1.408624649E-2	1.984344735E-2
1.859394050E1	-2.568864822E-2	-1.371836662E-2	2.354478836E-2	3.744939638E-2
1.860194273E1	-5.395078659E-2	2.762615681E-3	-7.395744324E-4	5.402653412E-2
1.860994671E1	-7.247781754E-2	1.182281971E-2	-2.034378052E-2	7.620159123E-2
1.861795058E1	-1.028823853E-1	8.805394173E-3	-5.677318573E-2	1.178368142E-1
1.862595863E1	-1.115932465E-1	1.813587546E-2	-6.939077377E-2	1.326538432E-1
1.863396746E1	-7.974576950E-2	3.497985005E-2	-8.431196213E-2	1.212084346E-1
1.864197531E1	-3.363084793E-2	5.454778671E-2	-6.565666199E-2	9.174580225E-2
1.864997961E1	2.916193008E-2	4.550912976E-2	-4.694652557E-2	7.159242503E-2
1.865798246E1	4.178905487E-2	4.125863314E-2	-3.550481796E-2	6.862355291E-2
1.866598597E1	5.435991287E-2	5.593734980E-2	-4.794931412E-2	9.155940123E-2
1.867399492E1	4.064273834E-2	4.185718298E-2	-5.085325241E-2	7.739450386E-2
1.868199972E1	2.232360840E-2	4.670804739E-2	-5.867433548E-2	7.824744614E-2
1.869000312E1	-1.018238068E-2	3.232225776E-2	-7.141494751E-2	7.904747909E-2
1.869800847E1	-1.155328751E-2	3.481522202E-2	-6.501722336E-2	7.465130588E-2
1.870601410E1	-3.691768646E-2	3.287351131E-2	-5.859804153E-2	7.666364061E-2
1.871402148E1	-7.435894012E-2	3.615722060E-2	-5.930423737E-2	1.017525879E-1
1.872203000E1	-4.726457596E-2	3.500249982E-2	-4.797649384E-2	7.590032342E-2
1.873003867E1	1.101016998E-3	2.225252986E-2	-1.012134552E-2	2.447098197E-2
