"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.218440945E1	-3.407895565E-3	1.862555742E-3	3.799057007E-2	3.818856216E-2
1.219241011E1	-8.237808943E-3	1.150754094E-2	2.601814270E-2	2.961804761E-2
1.220041113E1	3.641791642E-3	1.161599159E-2	2.362155914E-2	2.657389628E-2
1.220841230E1	-8.372031152E-3	6.801396608E-3	2.122879028E-2	2.381200198E-2
1.221641222E1	-1.185245812E-3	6.780385971E-3	3.798770905E-2	3.860627514E-2
1.222441179E1	-1.230470836E-3	9.161472321E-3	3.320121765E-2	3.446400277E-2
1.223241148E1	-1.324173808E-2	1.153746247E-2	1.644325256E-2	2.405903619E-2
1.224041054E1	-1.221492887E-3	-2.684563398E-3	3.559207916E-2	3.571407320E-2
1.224840878E1	-3.710165620E-3	6.891638041E-3	3.080463409E-2	3.178341526E-2
1.225640874E1	-1.074909419E-2	1.397845149E-2	1.883411407E-2	2.580046482E-2
1.226440984E1	-6.009928882E-3	2.055943012E-3	1.883316040E-2	1.987546421E-2
1.227240902E1	-8.404128253E-3	-2.780377865E-3	2.601814270E-2	2.748278775E-2
1.228041167E1	-1.221522689E-3	1.393115520E-2	2.601909637E-2	2.953917025E-2
1.228841152E1	-3.471970558E-3	9.238570929E-3	2.601528168E-2	2.782446142E-2
1.229640624E1	6.152719259E-3	1.172852516E-2	3.558826447E-2	3.797286958E-2
1.230440339E1	6.247155368E-3	6.892859936E-3	3.319454193E-2	3.447341124E-2
1.231240097E1	3.852948546E-3	-2.897381783E-4	3.319454193E-2	3.341865908E-2
1.232039999E1	6.293699145E-3	1.398023963E-2	3.559112549E-2	3.875288328E-2
1.232839644E1	-8.423477411E-4	9.096592665E-3	2.840995789E-2	2.984264155E-2
1.233639105E1	-7.465928793E-4	1.383706927E-2	2.362155914E-2	2.738612684E-2
1.234438609E1	-7.977068424E-3	4.116684198E-3	1.404953003E-2	1.667243244E-2
1.235238488E1	3.995269537E-3	1.364508271E-2	3.320407867E-2	3.612009554E-2
1.236037999E1	1.551829278E-3	1.626729965E-3	2.841854095E-2	2.850733054E-2
1.236837484E1	-8.396878839E-4	6.509751081E-3	3.559875488E-2	3.619880225E-2
1.237637136E1	-5.770385265E-3	1.134547591E-2	3.320407867E-2	3.556020262E-2
1.238436863E1	-8.212454617E-3	6.557077169E-3	3.799343109E-2	3.942005172E-2
1.239236531E1	-1.075029373E-2	4.210829735E-3	2.123451233E-2	2.417032098E-2
1.240035925E1	-1.218728721E-3	1.852697134E-2	3.081321716E-2	3.597482896E-2
1.240835140E1	-8.342638612E-3	1.625189185E-2	2.602005005E-2	3.179255593E-2
1.241634429E1	3.629587591E-3	1.140862703E-2	1.883888245E-2	2.232115966E-2
1.242434113E1	-6.033428013E-3	1.378601789E-2	3.320503235E-2	3.645587355E-2
1.243233738E1	-1.320502907E-2	1.620197296E-2	2.362823486E-2	3.154631838E-2
1.244033226E1	-8.355483413E-3	1.143708825E-2	1.405048370E-2	1.995086923E-2
1.244832929E1	-3.555186093E-3	1.389664412E-2	2.601909637E-2	2.971109964E-2
